,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
221,X15p.d_20r.d_b,47,0.063829787,0.247092248,0.036042109,0.072549002,-15,-20,X15p.d_20r.d_b,Rep,56,0.053571429,0.227207783,0.030361917,0.060846642,-15,-20,0.010258359
223,X15p.d_20r.u_b,52,0.076923077,0.269069118,0.037313173,0.074909321,-15,20,X15p.d_20r.u_b,Rep,43,0.23255814,0.427462574,0.065187431,0.131553563,-15,20,-0.155635063
225,X15p.d_25r.d_b,44,0.022727273,0.150755672,0.022727273,0.045833914,-15,-25,X15p.d_25r.d_b,Rep,59,0.101694915,0.304841126,0.039686934,0.07944203,-15,-25,-0.078967643
227,X15p.d_25r.u_b,48,0.020833333,0.144337567,0.020833333,0.041911261,-15,25,X15p.d_25r.u_b,Rep,53,0.132075472,0.341812806,0.0469516,0.094215278,-15,25,-0.111242138
229,X15p.d_30r.d_b,49,0.244897959,0.434483038,0.062069005,0.1247981,-15,-30,X15p.d_30r.d_b,Rep,46,0.173913043,0.383223047,0.056503156,0.113803197,-15,-30,0.070984916
231,X15p.d_30r.u_b,49,0.06122449,0.242226071,0.034603724,0.069575451,-15,30,X15p.d_30r.u_b,Rep,54,0.203703704,0.406532954,0.055322128,0.110962136,-15,30,-0.142479214
233,X15p.d_35r.d_b,56,0.053571429,0.227207783,0.030361917,0.060846642,-15,-35,X15p.d_35r.d_b,Rep,45,0.177777778,0.386645767,0.057637748,0.116161248,-15,-35,-0.124206349
235,X15p.d_35r.u_b,45,0.088888889,0.287799032,0.042902547,0.086464401,-15,35,X15p.d_35r.u_b,Rep,51,0.156862745,0.367290023,0.05143089,0.103301984,-15,35,-0.067973856
237,X15p.d_40r.d_b,50,0.14,0.350509833,0.049569576,0.099613792,-15,-40,X15p.d_40r.d_b,Rep,48,0.145833333,0.356673958,0.051481451,0.103567321,-15,-40,-0.005833333
239,X15p.d_40r.u_b,51,0.078431373,0.271524382,0.038021018,0.076367463,-15,40,X15p.d_40r.u_b,Rep,53,0.20754717,0.409431621,0.056239758,0.112853332,-15,40,-0.129115797
241,X15p.d_45r.d_b,46,0.239130435,0.431265971,0.063586698,0.128070185,-15,-45,X15p.d_45r.d_b,Rep,53,0.226415094,0.422515791,0.058037007,0.116459775,-15,-45,0.01271534
243,X15p.d_45r.u_b,50,0.14,0.350509833,0.049569576,0.099613792,-15,45,X15p.d_45r.u_b,Rep,48,0.229166667,0.424744395,0.061306573,0.123332916,-15,45,-0.089166667
245,X15p.d_50r.d_b,49,0.224489796,0.421569791,0.060224256,0.121088982,-15,-50,X15p.d_50r.d_b,Rep,51,0.137254902,0.347540377,0.048665387,0.097747306,-15,-50,0.087234894
247,X15p.d_50r.u_b,49,0.06122449,0.242226071,0.034603724,0.069575451,-15,50,X15p.d_50r.u_b,Rep,54,0.222222222,0.419643455,0.057106241,0.114540614,-15,50,-0.160997732
249,X15p.d_r.nc_b,54,0.111111111,0.317220634,0.043168261,0.086584566,-15,0,X15p.d_r.nc_b,Rep,45,0.155555556,0.3665289,0.054638902,0.110117472,-15,0,-0.044444444
251,X15p.u_05r.d_b,51,0.901960784,0.30032662,0.042054138,0.084468223,15,-5,X15p.u_05r.d_b,Rep,52,0.807692308,0.397958592,0.055186927,0.110792379,15,-5,0.094268477
253,X15p.u_05r.u_b,47,0.872340426,0.337318149,0.049202909,0.099040319,15,5,X15p.u_05r.u_b,Rep,46,0.891304348,0.314696388,0.046399451,0.093453291,15,5,-0.018963922
255,X15p.u_10r.d_b,45,0.977777778,0.149071198,0.022222222,0.044785946,15,-10,X15p.u_10r.d_b,Rep,52,0.75,0.437237316,0.060633906,0.121727646,15,-10,0.227777778
257,X15p.u_10r.u_b,40,0.85,0.361620285,0.057177187,0.115651778,15,10,X15p.u_10r.u_b,Rep,52,0.961538462,0.194183909,0.026928463,0.054061146,15,10,-0.111538462
259,X15p.u_15r.d_b,47,0.893617021,0.311660528,0.04546036,0.091506959,15,-15,X15p.u_15r.d_b,Rep,53,0.735849057,0.445099099,0.061139063,0.122684506,15,-15,0.157767965
261,X15p.u_15r.u_b,49,0.836734694,0.373437789,0.053348256,0.107263857,15,15,X15p.u_15r.u_b,Rep,52,0.923076923,0.269069118,0.037313173,0.074909321,15,15,-0.086342229
263,X15p.u_20r.d_b,50,0.86,0.350509833,0.049569576,0.099613792,15,-20,X15p.u_20r.d_b,Rep,48,0.625,0.489246055,0.070616585,0.142062246,15,-20,0.235
265,X15p.u_20r.u_b,48,0.708333333,0.459339643,0.066299967,0.133378329,15,20,X15p.u_20r.u_b,Rep,49,0.857142857,0.353553391,0.050507627,0.101552391,15,20,-0.148809524
267,X15p.u_25r.d_b,44,0.909090909,0.290803363,0.043840257,0.088412303,15,-25,X15p.u_25r.d_b,Rep,52,0.461538462,0.503382226,0.069806555,0.140142507,15,-25,0.447552448
269,X15p.u_25r.u_b,51,0.745098039,0.440142579,0.061632289,0.123792095,15,25,X15p.u_25r.u_b,Rep,50,0.74,0.443087498,0.062662035,0.125924074,15,25,0.005098039
271,X15p.u_30r.d_b,51,0.784313725,0.415390202,0.058166263,0.116830377,15,-30,X15p.u_30r.d_b,Rep,46,0.5,0.50552503,0.074535599,0.150122403,15,-30,0.284313725
273,X15p.u_30r.u_b,49,0.571428571,0.5,0.071428571,0.143616768,15,30,X15p.u_30r.u_b,Rep,51,0.764705882,0.428403328,0.059988465,0.120490378,15,30,-0.193277311
275,X15p.u_35r.d_b,47,0.787234043,0.413688089,0.06034261,0.121463373,15,-35,X15p.u_35r.d_b,Rep,53,0.547169811,0.502533494,0.069028284,0.138515386,15,-35,0.240064231
277,X15p.u_35r.u_b,50,0.7,0.46291005,0.065465367,0.131557581,15,35,X15p.u_35r.u_b,Rep,54,0.759259259,0.431547684,0.058726201,0.117789843,15,35,-0.059259259
279,X15p.u_40r.d_b,42,0.619047619,0.491507435,0.075841244,0.153164499,15,-40,X15p.u_40r.d_b,Rep,54,0.407407407,0.495965554,0.067492363,0.135372537,15,-40,0.211640212
281,X15p.u_40r.u_b,51,0.705882353,0.460178993,0.064437948,0.129427428,15,40,X15p.u_40r.u_b,Rep,46,0.673913043,0.473959578,0.069881527,0.140748621,15,40,0.031969309
283,X15p.u_45r.d_b,53,0.735849057,0.445099099,0.061139063,0.122684506,15,-45,X15p.u_45r.d_b,Rep,47,0.340425532,0.478975162,0.069865708,0.140632376,15,-45,0.395423525
285,X15p.u_45r.u_b,51,0.529411765,0.50410083,0.070588235,0.141780643,15,45,X15p.u_45r.u_b,Rep,48,0.604166667,0.494203995,0.071332202,0.143501881,15,45,-0.074754902
287,X15p.u_50r.d_b,55,0.763636364,0.428763786,0.057814497,0.115911088,15,-50,X15p.u_50r.d_b,Rep,47,0.340425532,0.478975162,0.069865708,0.140632376,15,-50,0.423210832
289,X15p.u_50r.u_b,50,0.52,0.50467205,0.071371406,0.14342621,15,50,X15p.u_50r.u_b,Rep,46,0.608695652,0.493435164,0.072753046,0.146532156,15,50,-0.088695652
291,X15p.u_r.nc_b,48,0.916666667,0.279310194,0.040314954,0.081103226,15,0,X15p.u_r.nc_b,Rep,50,0.82,0.388087934,0.054883922,0.110293371,15,0,0.096666667
293,X20p.d_05r.d_b,50,0.06,0.239897937,0.033926692,0.068178239,-20,-5,X20p.d_05r.d_b,Rep,51,0.058823529,0.23763541,0.033275613,0.066836036,-20,-5,0.001176471
295,X20p.d_05r.u_b,51,0.058823529,0.23763541,0.033275613,0.066836036,-20,5,X20p.d_05r.u_b,Rep,50,0.18,0.388087934,0.054883922,0.110293371,-20,5,-0.121176471
297,X20p.d_10r.d_b,51,0.078431373,0.271524382,0.038021018,0.076367463,-20,-10,X20p.d_10r.d_b,Rep,54,0.111111111,0.317220634,0.043168261,0.086584566,-20,-10,-0.032679739
299,X20p.d_10r.u_b,50,0.08,0.274047516,0.038756171,0.077883442,-20,10,X20p.d_10r.u_b,Rep,51,0.137254902,0.347540377,0.048665387,0.097747306,-20,10,-0.057254902
301,X20p.d_15r.d_b,48,0.0625,0.244623027,0.035308293,0.071031123,-20,-15,X20p.d_15r.d_b,Rep,51,0.156862745,0.367290023,0.05143089,0.103301984,-20,-15,-0.094362745
303,X20p.d_15r.u_b,53,0.113207547,0.319878424,0.043938681,0.088169413,-20,15,X20p.d_15r.u_b,Rep,45,0.177777778,0.386645767,0.057637748,0.116161248,-20,15,-0.064570231
305,X20p.d_20r.d_b,49,0.12244898,0.331200661,0.04731438,0.095131937,-20,-20,X20p.d_20r.d_b,Rep,51,0.117647059,0.325395687,0.04556451,0.091519012,-20,-20,0.004801921
307,X20p.d_20r.u_b,53,0.075471698,0.266678761,0.036631145,0.07350577,-20,20,X20p.d_20r.u_b,Rep,45,0.177777778,0.386645767,0.057637748,0.116161248,-20,20,-0.10230608
309,X20p.d_25r.d_b,40,0.05,0.220721428,0.034899122,0.070590137,-20,-25,X20p.d_25r.d_b,Rep,54,0.12962963,0.33904952,0.046138796,0.092542705,-20,-25,-0.07962963
311,X20p.d_25r.u_b,56,0.071428571,0.259870097,0.034726602,0.069593667,-20,25,X20p.d_25r.u_b,Rep,45,0.2,0.404519917,0.060302269,0.121531237,-20,25,-0.128571429
313,X20p.d_30r.d_b,49,0.06122449,0.242226071,0.034603724,0.069575451,-20,-30,X20p.d_30r.d_b,Rep,51,0.117647059,0.325395687,0.04556451,0.091519012,-20,-30,-0.056422569
315,X20p.d_30r.u_b,48,0.083333333,0.279310194,0.040314954,0.081103226,-20,30,X20p.d_30r.u_b,Rep,46,0.173913043,0.383223047,0.056503156,0.113803197,-20,30,-0.09057971
317,X20p.d_35r.d_b,51,0.098039216,0.30032662,0.042054138,0.084468223,-20,-35,X20p.d_35r.d_b,Rep,49,0.142857143,0.353553391,0.050507627,0.101552391,-20,-35,-0.044817927
319,X20p.d_35r.u_b,51,0.039215686,0.196039212,0.02745098,0.055136917,-20,35,X20p.d_35r.u_b,Rep,48,0.125,0.334218682,0.048240312,0.097046989,-20,35,-0.085784314
321,X20p.d_40r.d_b,44,0.022727273,0.150755672,0.022727273,0.045833914,-20,-40,X20p.d_40r.d_b,Rep,51,0.176470588,0.385013369,0.053912655,0.108286755,-20,-40,-0.153743316
323,X20p.d_40r.u_b,48,0.208333333,0.410414079,0.05923817,0.119171826,-20,40,X20p.d_40r.u_b,Rep,55,0.218181818,0.416818154,0.056203748,0.112681731,-20,40,-0.009848485
325,X20p.d_45r.d_b,42,0.047619048,0.215540269,0.033258586,0.067167076,-20,-45,X20p.d_45r.d_b,Rep,54,0.166666667,0.376177397,0.05119126,0.102676664,-20,-45,-0.119047619
327,X20p.d_45r.u_b,56,0.107142857,0.312093892,0.041705301,0.08357929,-20,45,X20p.d_45r.u_b,Rep,45,0.2,0.404519917,0.060302269,0.121531237,-20,45,-0.092857143
329,X20p.d_50r.d_b,49,0.163265306,0.373437789,0.053348256,0.107263857,-20,-50,X20p.d_50r.d_b,Rep,49,0.102040816,0.305838871,0.043691267,0.087847181,-20,-50,0.06122449
331,X20p.d_50r.u_b,52,0.153846154,0.364321307,0.050522275,0.1014277,-20,50,X20p.d_50r.u_b,Rep,50,0.16,0.37032804,0.052372294,0.105246064,-20,50,-0.006153846
333,X20p.d_r.nc_b,53,0.113207547,0.319878424,0.043938681,0.088169413,-20,0,X20p.d_r.nc_b,Rep,44,0.068181818,0.254971706,0.038438431,0.077518484,-20,0,0.045025729
335,X20p.u_05r.d_b,53,0.962264151,0.192380248,0.026425459,0.053026563,20,-5,X20p.u_05r.d_b,Rep,44,0.727272727,0.450510633,0.067917033,0.136967751,20,-5,0.234991424
337,X20p.u_05r.u_b,45,1,0,0,0,20,5,X20p.u_05r.u_b,Rep,54,0.925925926,0.264350529,0.03597355,0.072153805,20,5,0.074074074
339,X20p.u_10r.d_b,51,0.921568627,0.271524382,0.038021018,0.076367463,20,-10,X20p.u_10r.d_b,Rep,45,0.8,0.404519917,0.060302269,0.121531237,20,-10,0.121568627
341,X20p.u_10r.u_b,48,0.916666667,0.279310194,0.040314954,0.081103226,20,10,X20p.u_10r.u_b,Rep,51,0.882352941,0.325395687,0.04556451,0.091519012,20,10,0.034313725
343,X20p.u_15r.d_b,51,0.862745098,0.347540377,0.048665387,0.097747306,20,-15,X20p.u_15r.d_b,Rep,50,0.62,0.490314351,0.069340921,0.139345797,20,-15,0.242745098
345,X20p.u_15r.u_b,49,0.755102041,0.434483038,0.062069005,0.1247981,20,15,X20p.u_15r.u_b,Rep,53,0.886792453,0.319878424,0.043938681,0.088169413,20,15,-0.131690412
347,X20p.u_20r.d_b,45,0.933333333,0.25226249,0.037605072,0.075788042,20,-20,X20p.u_20r.d_b,Rep,55,0.836363636,0.373354978,0.050343175,0.100931989,20,-20,0.096969697
349,X20p.u_20r.u_b,48,0.791666667,0.410414079,0.05923817,0.119171826,20,20,X20p.u_20r.u_b,Rep,53,0.849056604,0.361419552,0.049644794,0.099619566,20,20,-0.057389937
351,X20p.u_25r.d_b,54,0.851851852,0.358582503,0.048796898,0.097874183,20,-25,X20p.u_25r.d_b,Rep,43,0.581395349,0.499168744,0.07612252,0.153621464,20,-25,0.270456503
353,X20p.u_25r.u_b,52,0.711538462,0.457466958,0.063439253,0.127359615,20,25,X20p.u_25r.u_b,Rep,50,0.8,0.404061018,0.057142857,0.114832871,20,25,-0.088461538
355,X20p.u_30r.d_b,55,0.854545455,0.355807991,0.04797714,0.096188374,20,-30,X20p.u_30r.d_b,Rep,49,0.612244898,0.492287455,0.070326779,0.141401467,20,-30,0.242300557
357,X20p.u_30r.u_b,49,0.673469388,0.473803541,0.06768622,0.136092267,20,30,X20p.u_30r.u_b,Rep,54,0.833333333,0.376177397,0.05119126,0.102676664,20,30,-0.159863946
359,X20p.u_35r.d_b,51,0.843137255,0.367290023,0.05143089,0.103301984,20,-35,X20p.u_35r.d_b,Rep,46,0.586956522,0.49782134,0.073399752,0.14783469,20,-35,0.256180733
361,X20p.u_35r.u_b,51,0.705882353,0.460178993,0.064437948,0.129427428,20,35,X20p.u_35r.u_b,Rep,44,0.659090909,0.479494977,0.072286588,0.145779797,20,35,0.046791444
363,X20p.u_40r.d_b,46,0.891304348,0.314696388,0.046399451,0.093453291,20,-40,X20p.u_40r.d_b,Rep,54,0.555555556,0.501569863,0.068255013,0.136902219,20,-40,0.335748792
365,X20p.u_40r.u_b,41,0.658536585,0.480091455,0.074977689,0.151535561,20,40,X20p.u_40r.u_b,Rep,56,0.785714286,0.414039336,0.055328334,0.110880458,20,40,-0.1271777
367,X20p.u_45r.d_b,50,0.76,0.431419111,0.061011876,0.122607955,20,-45,X20p.u_45r.d_b,Rep,54,0.444444444,0.501569863,0.068255013,0.136902219,20,-45,0.315555556
369,X20p.u_45r.u_b,41,0.682926829,0.471116991,0.073576113,0.148702871,20,45,X20p.u_45r.u_b,Rep,57,0.754385965,0.434276975,0.057521391,0.115229192,20,45,-0.071459136
371,X20p.u_50r.d_b,51,0.725490196,0.450707505,0.063111674,0.126763528,20,-50,X20p.u_50r.d_b,Rep,48,0.5,0.505291153,0.072932496,0.146721256,20,-50,0.225490196
373,X20p.u_50r.u_b,48,0.708333333,0.459339643,0.066299967,0.133378329,20,50,X20p.u_50r.u_b,Rep,55,0.690909091,0.466377977,0.062886394,0.126079628,20,50,0.017424242
375,X20p.u_r.nc_b,49,0.87755102,0.331200661,0.04731438,0.095131937,20,0,X20p.u_r.nc_b,Rep,53,0.886792453,0.319878424,0.043938681,0.088169413,20,0,-0.009241432
377,X25p.d_05r.d_b,50,0.08,0.274047516,0.038756171,0.077883442,-25,-5,X25p.d_05r.d_b,Rep,51,0.156862745,0.367290023,0.05143089,0.103301984,-25,-5,-0.076862745
379,X25p.d_05r.u_b,47,0.106382979,0.311660528,0.04546036,0.091506959,-25,5,X25p.d_05r.u_b,Rep,57,0.157894737,0.367883604,0.048727374,0.097612659,-25,5,-0.051511758
381,X25p.d_10r.d_b,45,0.111111111,0.317820863,0.047377937,0.095483958,-25,-10,X25p.d_10r.d_b,Rep,52,0.192307692,0.397958592,0.055186927,0.110792379,-25,-10,-0.081196581
383,X25p.d_10r.u_b,51,0.039215686,0.196039212,0.02745098,0.055136917,-25,10,X25p.d_10r.u_b,Rep,45,0.2,0.404519917,0.060302269,0.121531237,-25,10,-0.160784314
385,X25p.d_15r.d_b,51,0.117647059,0.325395687,0.04556451,0.091519012,-25,-15,X25p.d_15r.d_b,Rep,48,0.145833333,0.356673958,0.051481451,0.103567321,-25,-15,-0.028186275
387,X25p.d_15r.u_b,45,0.133333333,0.343775825,0.051247074,0.103281692,-25,15,X25p.d_15r.u_b,Rep,56,0.178571429,0.386459117,0.051642772,0.103494427,-25,15,-0.045238095
389,X25p.d_20r.d_b,51,0.117647059,0.325395687,0.04556451,0.091519012,-25,-20,X25p.d_20r.d_b,Rep,48,0.125,0.334218682,0.048240312,0.097046989,-25,-20,-0.007352941
391,X25p.d_20r.u_b,53,0.075471698,0.266678761,0.036631145,0.07350577,-25,20,X25p.d_20r.u_b,Rep,51,0.196078431,0.400979194,0.056148318,0.112777216,-25,20,-0.120606733
393,X25p.d_25r.d_b,56,0.053571429,0.227207783,0.030361917,0.060846642,-25,-25,X25p.d_25r.d_b,Rep,41,0.073170732,0.263651655,0.041175471,0.083218731,-25,-25,-0.019599303
395,X25p.d_25r.u_b,56,0.089285714,0.287736351,0.038450387,0.077056298,-25,25,X25p.d_25r.u_b,Rep,44,0.181818182,0.390153653,0.058817876,0.118617552,-25,25,-0.092532468
397,X25p.d_30r.d_b,47,0.042553191,0.204029709,0.029760792,0.059905367,-25,-30,X25p.d_30r.d_b,Rep,51,0.137254902,0.347540377,0.048665387,0.097747306,-25,-30,-0.09470171
399,X25p.d_30r.u_b,47,0.042553191,0.204029709,0.029760792,0.059905367,-25,30,X25p.d_30r.u_b,Rep,47,0.212765957,0.413688089,0.06034261,0.121463373,-25,30,-0.170212766
401,X25p.d_35r.d_b,50,0.04,0.197948664,0.027994168,0.056256388,-25,-35,X25p.d_35r.d_b,Rep,46,0.195652174,0.401085484,0.059136828,0.119107686,-25,-35,-0.155652174
403,X25p.d_35r.u_b,51,0.137254902,0.347540377,0.048665387,0.097747306,-25,35,X25p.d_35r.u_b,Rep,46,0.239130435,0.431265971,0.063586698,0.128070185,-25,35,-0.101875533
405,X25p.d_40r.d_b,44,0.068181818,0.254971706,0.038438431,0.077518484,-25,-40,X25p.d_40r.d_b,Rep,53,0.20754717,0.409431621,0.056239758,0.112853332,-25,-40,-0.139365352
407,X25p.d_40r.u_b,51,0.078431373,0.271524382,0.038021018,0.076367463,-25,40,X25p.d_40r.u_b,Rep,48,0.125,0.334218682,0.048240312,0.097046989,-25,40,-0.046568627
409,X25p.d_45r.d_b,47,0.063829787,0.247092248,0.036042109,0.072549002,-25,-45,X25p.d_45r.d_b,Rep,52,0.211538462,0.412383719,0.057187332,0.114808361,-25,-45,-0.147708674
411,X25p.d_45r.u_b,42,0.071428571,0.26066118,0.040220893,0.081227742,-25,45,X25p.d_45r.u_b,Rep,58,0.155172414,0.3652312,0.047957206,0.096032649,-25,45,-0.083743842
413,X25p.d_50r.d_b,60,0.133333333,0.342803332,0.04425572,0.088555491,-25,-50,X25p.d_50r.d_b,Rep,38,0.105263158,0.311011748,0.050452768,0.102227018,-25,-50,0.028070175
415,X25p.d_50r.u_b,55,0.054545455,0.229183884,0.030903149,0.061957083,-25,50,X25p.d_50r.u_b,Rep,42,0.095238095,0.297101757,0.045843796,0.092583425,-25,50,-0.040692641
417,X25p.d_r.nc_b,50,0.08,0.274047516,0.038756171,0.077883442,-25,0,X25p.d_r.nc_b,Rep,51,0.215686275,0.415390202,0.058166263,0.116830377,-25,0,-0.135686275
419,X25p.u_05r.d_b,60,0.95,0.219784178,0.028374015,0.056776274,25,-5,X25p.u_05r.d_b,Rep,37,0.864864865,0.346583497,0.056977976,0.115556691,25,-5,0.085135135
421,X25p.u_05r.u_b,53,0.924528302,0.266678761,0.036631145,0.07350577,25,5,X25p.u_05r.u_b,Rep,49,0.93877551,0.242226071,0.034603724,0.069575451,25,5,-0.014247208
423,X25p.u_10r.d_b,47,0.872340426,0.337318149,0.049202909,0.099040319,25,-10,X25p.u_10r.d_b,Rep,50,0.74,0.443087498,0.062662035,0.125924074,25,-10,0.132340426
425,X25p.u_10r.u_b,42,0.880952381,0.327770068,0.050576019,0.102140343,25,10,X25p.u_10r.u_b,Rep,58,0.948275862,0.223403796,0.029334355,0.058741034,25,10,-0.067323481
427,X25p.u_15r.d_b,50,0.84,0.37032804,0.052372294,0.105246064,25,-15,X25p.u_15r.d_b,Rep,45,0.666666667,0.476731295,0.071066905,0.143225937,25,-15,0.173333333
429,X25p.u_15r.u_b,41,0.804878049,0.401217659,0.062659671,0.126639919,25,15,X25p.u_15r.u_b,Rep,59,0.847457627,0.362632108,0.047210679,0.094502442,25,15,-0.042579578
431,X25p.u_20r.d_b,46,0.913043478,0.284884925,0.042003991,0.08460038,25,-20,X25p.u_20r.d_b,Rep,51,0.68627451,0.468623349,0.065620394,0.131802441,25,-20,0.226768968
433,X25p.u_20r.u_b,56,0.767857143,0.426020547,0.05692939,0.114089048,25,20,X25p.u_20r.u_b,Rep,46,0.934782609,0.249637418,0.036807029,0.074133162,25,20,-0.166925466
435,X25p.u_25r.d_b,52,0.807692308,0.397958592,0.055186927,0.110792379,25,-25,X25p.u_25r.d_b,Rep,48,0.645833333,0.483321105,0.069761393,0.14034182,25,-25,0.161858974
437,X25p.u_25r.u_b,49,0.816326531,0.391230398,0.055890057,0.112374491,25,25,X25p.u_25r.u_b,Rep,49,0.857142857,0.353553391,0.050507627,0.101552391,25,25,-0.040816327
439,X25p.u_30r.d_b,60,0.833333333,0.375823014,0.048518542,0.097085379,25,-30,X25p.u_30r.d_b,Rep,45,0.533333333,0.504524979,0.075210143,0.151576084,25,-30,0.3
